id,link
O2_Prepaid_UK,http://www.o2.co.uk/iphone
O2_Sky_uk,https://www.sky.com/
O2_Tesco_UK,https://www.tescomobile.com/shop/apple
O2_UK,http://www.o2.co.uk/iphone
O2_cz,https://www.o2.cz/osobni/pece-a-podpora/
O2_ie,https://www.three.ie/buy/phones.html#apple
O2_sk,https://www.o2.sk/
OPT_nc,http://www.opt.nc/
Oi_BrT_br,http://www.oi.com.br/
Oi_br,http://www.oi.com.br/
Omantel_om,https://www.omantel.om/
Omnitel_lt,https://www.telia.lt/prekes/mobilieji-telefonai/apple
One_at,https://www.drei.at/
OpenMobile_LTE_pr,http://www.openmobilepr.com/
Optimus_pt,http://www.nos.pt/particulares/Pages/home.aspx
Optus_Virgin_au,http://www.optus.com.au/iphone
Optus_au,http://www.optus.com.au/iphone
Ora_pf,https://www.ora.pf/telephones/?yith_wcan=1&product_cat=iphone&orderby=date
Orange_France,http://iphone.orange.fr/
Orange_am,https://www.ucom.am/
Orange_bw,http://www.orange.co.bw/
Orange_cd,http://www.orange.cd/
Orange_cf,https://www.orangerca.com/
Orange_ch,https://www.salt.ch/en/
Orange_ci,http://www.orange.ci/
Orange_cm,http://www.orange.cm/#
Orange_do,https://www.altice.com.do/
Orange_es,http://www.orange.es/
Orange_gn,https://www.orange-guinee.com/
Orange_gw,https://www.orange-bissau.com/
Orange_il,http://www.partner.co.il/
Orange_jo,https://www.orange.jo/
Orange_ke,https://telkom.co.ke/
Orange_li,salt.li
Orange_lr,http://www.orange.com.lr/
Orange_md,https://www.orange.md/
Orange_mg,https://www.orange.mg/
Orange_ml,https://www.orangemali.com/
Orange_mq,https://caraibe.orange.fr/
Orange_mu,https://www.myt.mu/mobile/
Orange_ne,https://www.zamanitelecom.com
Orange_pl,https://www.orange.pl/view/esim
Orange_re,http://reunion.orange.fr/
Orange_ro,http://www.orange.ro/iphone/index.html
Orange_sk,http://orange.sk/
Orange_sn,http://www.orange.sn/catalogue/mobile/
Orange_tn,http://www.orange.tn/
Orange_uk,http://ee.co.uk/help
Orange_vu,https://vodafone.com.vu
PCCW_hk,https://www.1010.com.hk/en/home
PNCC_pw,https://www.pnccpalau.com/products-and-services/palaucel
PTCI_LTE_US,https://www.ptci.net
PTCI_LTE_only_US,https://www.ptci.net
Panhandle_US,https://www.ptci.net/about/contact/
Paradise_bm,https://www.paradisemobile.bm
Pelephone_il,http://www.pelephone.co.il/iphone
Personal_ar,https://www.personal.com.ar/
PioneerCellular_LTE_US,https://gopioneer.com
Pioneer_LTE_US,https://gopioneer.com
Play_pl,http://www.play.pl/
Polkomtel_pl,https://www.plus.pl/
Porta_ec,http://www.claro.com.ec/
PrimeMobile,https://primetelecom.com.au/prime-mobile/
PrimeTel_cy,http://primetel.com.cy/
Progresif_bn,https://www.progresif.com
Proximus_be,http://www.proximus.be/en/personal/?
Qtel_dz,http://www.ooredoo.dz/
Qtel_iq,https://www.asiacell.com/
Qtel_kw,http://www.ooredoo.com.kw/en/
Qtel_mm,http://www.ooredoo.com.mm/
Qtel_mv,https://ooredoo.mv/
Qtel_om,https://shop.ooredoo.om/
Qtel_ps,https://www.ooredoo.ps/
Qtel_qa,http://www.ooredoo.qa/
Qtel_tn,http://www.ooredoo.tn/
Rakuten_jp,https://network.mobile.rakuten.co.jp/product/iphone/
RedteaMobile,http://www.redteamobile.com/
RelianceJio_in,https://www.jio.com/
Roamless,https://roamless.com
Robi_BhartiAirtel_bd,https://www.bd.airtel.com/en/
Robi_bd,http://www.robi.com.bd/
Rogers_Cityfone_ca,https://www.cityfone.net/
Rogers_ca,http://www.rogers.com/consumer/wireless
Rogers_chatr_ca,https://www.chatrwireless.com/
Roshan_af,https://www.roshan.af/
SFR_Caraibe_mq,https://www.sfrcaraibe.fr/mtq/?site=mtq
